# t0=2023-05-25T20:00:00.000
0.0	-1183413.5193963696	85749.51533179032	316960.8222913663	7013.436666408829	-1833.1204629010806	1264.2092280985266
1.0	-1176399.5076592094	83915.93846347765	318221.09348292195	7014.6069685601915	-1834.0390232631162	1256.336046363866
2.0	-1169384.3297623566	82081.44414105499	319473.49078795745	7015.768983262815	-1834.9553944681068	1248.461392555454
3.0	-1162367.9939935517	80246.03455467802	320718.0127390361	7016.922709465073	-1835.8695743709886	1240.5852759149395
4.0	-1155350.5086417738	78409.711896681	321954.65787794103	7018.06814612493	-1836.7815608299652	1232.7077056858307
5.0	-1148331.8819969525	76572.47836154723	323183.4247556963	7019.205292210365	-1837.6913517050373	1224.8286911132361
6.0	-1141312.122350316	74734.33614593232	324404.31193254923	7020.334146698799	-1838.5989448599894	1216.9482414441732
7.0	-1134291.2379935307	72895.28744850028	325617.31797806325	7021.45470857786	-1839.5043381601392	1209.0663659267034
8.0	-1127269.2372200217	71055.33447023528	326822.4414709605	7022.566976844615	-1840.4075294741908	1201.1830738113292
9.0	-1120246.128323392	69214.47941404046	328019.68099930044	7023.670950506243	-1841.3085166729134	1193.2983743492812
10.0	-1113221.9195988767	67372.724485107	329209.035160335	7024.766628579437	-1842.2072976303284	1185.4122767941005
11.0	-1106196.6193423131	65530.071890670806	330390.50256062264	7025.8540100909095	-1843.1038702224826	1177.524790400532
12.0	-1099170.2358507959	63686.52384013939	331564.08181590587	7026.933094076957	-1843.998232328705	1169.6359244252124
13.0	-1092142.7774219755	61842.082544973586	332729.771551277	7028.003879583952	-1844.8903818302058	1161.7456881259434
14.0	-1085114.2523551239	59996.75021886919	333887.57040095376	7029.066365667662	-1845.780316611955	1153.8540907627994
15.0	-1078084.6689497894	58150.529077521525	335037.4770085352	7030.120551394049	-1846.668034560499	1145.9611415967265
16.0	-1071054.0355067397	56303.42133876984	336179.49002683884	7031.166435838607	-1847.5535335658383	1138.0668498905097
17.0	-1064022.3603275295	54455.429222566425	337313.60811797425	7032.204018086841	-1848.4368115200052	1130.171224908349
18.0	-1056989.651714944	52606.554951006314	338439.82995321776	7033.233297233817	-1849.317866318364	1122.2742759163182
19.0	-1049955.9179720269	50756.8007481714	339558.1542132804	7034.25427238468	-1850.1966958583228	1114.3760121813082
20.0	-1042921.1674036745	48906.16884045303	340668.5795879385	7035.266942654044	-1851.0732980405771	1106.4764429727766
21.0	-1035885.4083146043	47054.66145609878	341771.10477642284	7036.271307166673	-1851.9476707679376	1098.5755775605244
22.0	-1028848.6490111679	45202.28082562727	342865.7284871207	7037.267365056876	-1852.8198119463475	1090.6734252166673
23.0	-1021810.8978002793	43349.02918157296	343952.4494377221	7038.255115468859	-1853.6897194842911	1082.7699952144787
24.0	-1014772.1629899538	41494.90875863528	345031.2663551768	7039.234557556535	-1854.5573912931152	1074.865296828972
25.0	-1007732.4528884222	39639.92179343931	346102.1779757779	7040.205690483868	-1855.4228252864184	1066.959339335946
26.0	-1000691.7758055432	37784.070524894865	347165.1830449861	7041.168513424306	-1856.286019381105	1059.0521320135006
27.0	-993650.1400512853	35927.357193813776	348220.28031765774	7042.123025561403	-1857.1469714961866	1051.14368414041
28.0	-986607.5539370487	34069.78404323431	349267.4685578303	7043.069226088228	-1858.0056795540147	1043.234004997542
29.0	-979564.0257746053	32211.353318188107	350306.74653885537	7044.0071142079105	-1858.8621414790273	1035.3231038667325
30.0	-972519.5638766917	30352.067265804624	351338.1130434008	7044.936689133229	-1859.7163551988683	1027.4109900313865
31.0	-965474.1765567497	28491.928135257447	352361.56686336943	7045.857950086803	-1860.5683186437461	1019.4976727762349
32.0	-958427.8721293015	26630.93817788118	353377.1067999416	7046.7708963009945	-1861.418029746759	1011.5831613877256
33.0	-951380.6589090007	24769.09964692325	354384.73166367004	7047.675527018169	-1862.2654864432714	1003.6674651530042
34.0	-944332.5452118134	22906.414797806763	355384.44027430937	7048.571841490259	-1863.11068667202	995.7505933611744
35.0	-937283.5393543048	21042.88588801294	356376.2314609175	7049.4598389791945	-1863.9536283738282	987.8325553025652
36.0	-930233.6496537349	19178.515177038847	357360.1040618676	7050.339518756549	-1864.7943094929324	979.9133602687773
37.0	-923182.8844278951	17313.30492642161	358336.0569248323	7051.210880103888	-1865.6327279756767	971.9930175525666
38.0	-916131.251995434	15447.257399761584	359304.0889067645	7052.073922312497	-1866.4688817714698	964.0715364481476
39.0	-909078.7606762832	13580.374862845056	360264.19887384214	7052.928644683244	-1867.3027688329357	956.1489262516862
40.0	-902025.418789953	11712.659583251923	361216.38570167276	7053.775046527226	-1868.1343871145525	948.2251962594406
41.0	-894971.234657547	9844.113830814254	362160.6482750472	7054.613127165012	-1868.963734574337	940.3003557699483
42.0	-887916.2166002761	7974.739877286251	363096.9854881376	7055.4428859272275	-1869.7908091724153	932.3744140824239
43.0	-880860.3729405426	6104.539996553096	364025.3962443337	7056.2643221540475	-1870.6156088723587	924.4473804979111
44.0	-873803.7120009246	4233.516464460059	364945.8794563967	7057.077435195727	-1871.4381316398576	916.5192643182124
45.0	-866746.2421048887	2361.671558901202	365858.43404635764	7057.882224412087	-1872.258375444028	908.5900748466263
46.0	-859687.971576269	489.00755979306996	366763.0589455834	7058.67868917304	-1873.0763382559658	900.6598213874336
47.0	-852628.9087401682	-1384.4732508467278	367659.75309466093	7059.466828857901	-1873.892018050675	892.7285132468066
48.0	-845569.0619215225	-3258.7685890845023	368548.51544359454	7060.246642856218	-1874.7054128048483	884.7961597313206
